id,lat,lon,name,street,zip_code,city
58489979,52.5098189,13.4073729,Netto Marken-Discount,Alte Jakobstraße 83,10179,Berlin
79418658,52.5724174,13.3085471,Ledo,Quäkerstraße 2,13403,Berlin
79422426,52.5716761,13.3124756,kiezmarkt,,,
79428988,52.5664033,13.3169308,nah & gut,Scharnweberstraße 100,13405,Berlin
79438509,52.5704861,13.321144,Edeka,,,
101003688,52.4913971,13.3228827,nah und gut,Güntzelstraße 40,10717,Berlin
151015050,52.5265407,13.5403083,NORMA,,,
175685784,52.5958262,13.3335139,Netto Marken-Discount,,13435,
245261389,52.5524232,13.3480665,ALDI,Müllerstraße 128,13349,Berlin
249675570,52.5439135,13.5486135,Netto Marken-Discount,,,
251340008,52.4315738,13.7149761,Edeka Leher,Fürstenwalder Allee 314,12589,Berlin
251595302,52.565038,13.3706441,PENNY,Pankower Allee 47-49,,
253256553,52.5515059,13.4550894,Netto,,,
253616655,52.510061,13.4709585,EDEKA Thaut,,,
253999816,52.4873144,13.3570728,Öz-Gida,Hauptstraße 16,10827,Berlin
254862675,52.4701156,13.4621306,EDEKA,,,
257704877,52.5476038,13.2100323,Lidl,Neuendorfer Straße 30,13585,Berlin
259835062,52.5428752,13.1965568,Lidl,Falkenseer Damm 19,13585,Berlin
259855794,52.5085368,13.2716801,ALDI Nord,Theodor-Heuss-Platz 7,14052,Berlin
261743904,52.5276119,13.3291604,REWE,Turmstraße 60,10551,Berlin
262353263,52.457312,13.5078518,Kaufland,Schnellerstraße 21,12439,Berlin
262355894,52.515615,13.4623106,EDEKA,Frankfurter Allee 35 - 37,10247,Berlin
264620848,52.5565629,13.5714829,REWE,Oberweißbacher Straße 2-4,12687,Berlin
264645629,52.4686357,13.3117953,REWE City,Südwestkorso 36,14197,Berlin
266623061,52.5045641,13.5903932,REWE,Alt-Kaulsdorf 64,12621,Berlin
266623118,52.5041188,13.5899079,Aldi,Alt-Kaulsdorf 64,12621,Berlin
267642274,52.4993302,13.4210651,Bio Company,Skalitzer Straße 127-128,10999,Berlin
268021255,52.5190008,13.3007843,REWE City,Otto-Suhr-Allee 141,10585,Berlin
268664135,52.563584,13.412146,Lidl,Berliner Straße 27-28,13189,Berlin
268844516,52.6082579,13.2353863,E-Center,,,
268845115,52.6097415,13.248277,Top Frischemarkt,,,
269478706,52.432822,13.5351004,Kaufland,Rudower Chaussee 12,12489,Berlin
269479009,52.513684,13.4060088,Edeka Ungefroren,Fischerinsel 12,10179,Berlin
270793632,52.4313775,13.7147356,ALDI Nord,,,
270814685,52.4422611,13.2404658,EDEKA,Fischerhüttenstraße 68,14163,Berlin
270814692,52.4268546,13.2159158,EDEKA,Potsdamer Chaussee 80,14129,Berlin
270880692,52.4357395,13.7545719,NORMA,,,
271738194,52.5374036,13.2047062,EDEKA,Markt 11,13597,Berlin
272247519,52.4560576,13.4374685,Penny,Britzer Damm 73,12347,Berlin
272247672,52.4574201,13.4373312,Edeka,Britzer Damm 55-59,12347,Berlin
273759099,52.4630725,13.3388468,Netto Marken-Discount,,,
273765898,52.523423,13.3065606,REWE,Sömmeringstraße 24-26,10589,Berlin
274864620,52.5246216,13.1977106,REWE City,Pichelsdorfer Straße 110,13595,Berlin
